Codigo_PRTR,index,Nombre_del_complejo,Cantidad_total_atmosfera,Empresa_matriz,Municipio,Provincia,Longitud,Latitud,CNAE_2009,Actividad económica principal
9999,2125,ES2211600000135-GRAÑEN ,10.4,PABLO MAZA BROTO,Grañén,Huesca,-0.369539,41.939517,Explotación de ganado porcino,
9925,2126,ES220440000034-BAILO ,10.4,SERVICIOS AGRICOLAS JACA LARRAZ,Bailo,Huesca,-0.810952,42.509478,Explotación de ganado porcino,
9889,2127,ES221560000014-MONFLORITE-LASCASAS ,10.4,"EXPLOTACIONES CESMAN, S.C.",Monflorite-Lascasas,Huesca,-0.34849,42.084451,Explotación de ganado porcino,
9876,2128,ES221370000138-LANAJA ,10.4,EXPLOTACIONES GANADERAS LANAJA S.L.,Lanaja,Huesca,-0.315337,41.802336,Explotación de ganado porcino,
9867,2129,ES221360000163-LALUEZA ,10.4,EXPLOTACIONES 2000 S.L.,Lalueza,Huesca,-0.316068,41.828207,Explotación de ganado porcino,
9849,2130,ES220630000019 - BISCARRUÉS ,10.4,"EXPLOTACIONES EL LLANO, S.C.",Biscarrués,Huesca,-0.756511,42.213643,Explotación de ganado porcino,
9832,2131,ES220800000085-CAPELLA ,10.4,LA BROCADA SC,Capella,Huesca,0.402669,42.212399,Explotación de ganado porcino,
9782,2132,ES222280000021-TIERZ ,10.4,HNOS VIÑUALES S.C.,Tierz,Huesca,-0.362563,42.121392,Explotación de ganado porcino,
9722,2133,ES222220000021-SIÉTAMO ,10.4,SISTAC CABRERO DAVID,Siétamo,Huesca,-0.261876,42.120843,Explotación de ganado porcino,
9687,2134,ES501190000035-GELSA ,10.4,LUIS PÉREZ GRACIA,Gelsa,Zaragoza,-0.430655,41.436825,Explotación de ganado porcino,
9685,2135,ES221360000160-LALUEZA ,10.4,JOSÉ LUIS FERRER BEGUÉ,Lalueza,Huesca,-0.214462,41.858808,Explotación de ganado porcino,
9661,2136,ES220550000015-BERBEGAL ,10.4,Mª ANTONIA PUYUELO MUR,Berbegal,Huesca,-0.034098,41.929982,Explotación de ganado porcino,
9636,2137,ES220630000021-BISCARRUÉS ,10.4,JOSE ANTONIO ASCASO OTAL,Biscarrués,Huesca,0.443667,42.103219,Explotación de ganado porcino,
9616,2138,ES222260000010-TARDIENTA ,10.4,JIASO C.B.,Tardienta,Huesca,0.335109,41.585938,Explotación de ganado porcino,
9603,2139,ES220640000023-BLECUA Y TORRES ,10.4,HERMANOS MORA BITRIAN C.B.,Blecua y Torres,Huesca,-0.220251,42.056527,Explotación de ganado porcino,
9595,2140,ES221240000021-HUERTO ,10.4,JAVIER MUR LOPEZ,Huerto,Huesca,-0.167642,41.931307,Explotación de ganado porcino,
9380,2141,ES501190000034-CERDOS-GELSA ,10.4,LUIS PÉREZ GRACIA,Gelsa,Zaragoza,-0.433843,41.416824,Explotación de ganado porcino,
9379,2142,ES220630000020-CERDOS-BISCARRUÉS ,10.4,JOSE CORRAL TORRALBA,Biscarrués,Huesca,-0.744716,42.206555,Explotación de ganado porcino,
9368,2143,ES221050000017-CERDOS-ESTOPIÑAN ,10.4,EXPLONAFA,Estopiñan del Castillo,Huesca,0.561019,41.977869,Explotación de ganado porcino,
9274,2144,ES220170000050-CERDOS-ALCOLEA DE CINCA ,10.4,JOSE ANTONIO RICO GUISERAS,Alcolea de Cinca ,Huesca,0.043041,41.757685,Explotación de ganado porcino,
9262,2145,ES220520000196-CERDOS-BELVER DE CINCA ,10.4,AGRO GANADERA MENEN S.L.,Belver de Cinca,Huesca,0.156365,41.751887,Explotación de ganado porcino,
7900,2146,EVARISTO ALONSO AGUADO ,10.4,EVARISTO ALONSO AGUADO,Villaquejida,León,-5.585472,42.145606,Explotación de ganado porcino,
7800,2147,ES221190000021-CERDOS-GURREA DE GÁLLEGO ,10.4,AGRIGAMA S.L.,Gurrea de Gállego,Huesca,-0.761005,42.015652,Explotación de ganado porcino,
7557,2148,ES221160000130-CERDOS-GRAÑÉN ,10.4,SAGARDOY PEIRO EDUARDO,Grañén,Huesca,-0.374752,41.879085,Explotación de ganado porcino,
7543,2149,ES220830000039-CERDOS-CASTEJÓN DE MONEGROS ,10.4,"JALAEBRO, SAU",Castejón de Monegros,Huesca,-0.134991,41.658034,Explotación de ganado porcino,
7535,2150,ES221160000129-CERDOS-GRAÑÉN ,10.4,GRAÑEN 21,Grañén,Huesca,-0.368074,41.992575,Explotación de ganado porcino,
6981,2151,ES221740000061-CERDOS-PERALTA DE ALCOFEA ,10.4,ANTONIO SALVA PUYUELO,Peralta de Alcofea,Huesca,-0.072114,41.949633,Explotación de ganado porcino,
6287,2152,ES221160000124-CERDOS-GRAÑÉN ,10.4,GRAÑEN 21,Grañén,Huesca,-0.365126,41.99251,Explotación de ganado porcino,
5372,2153,ES220070000046-CERDOS-ALBALATE DE CINCA ,10.4,INTEGRACIONES PUSA,Albalate de Cinca,Huesca,0.15949,41.751855,Explotación de ganado porcino,
4227,2154,LOS ESTEPARES ,10.4,"LOS ESTEPARES, S.L.",Aldea Real,Segovia,-4.16445,41.18897,Explotación de ganado porcino,
3956,2155,"LOBEJÓN BARRIOS, MANUEL ",10.4,MANUEL LOBEJÓN BARRIOS,Íscar,Valladolid,-4.534517,41.347272,Explotación de ganado porcino,
2524,2156,ES441610000001-CERDOS-MUNIESA ,10.4,RAMADERIA LAS VENTAS,Muniesa,Teruel,-0.761713,41.107763,Explotación de ganado porcino,
1160,2157,ES220520000192-CERDOS-BELVER DE CINCA ,10.4,AGROSASO S.C.,Belver de Cinca,Huesca,0.178766,41.692045,Explotación de ganado porcino,
1152,2158,ES221370000116-CERDOS-LANAJA ,10.4,EXPLOTACIONES GANADERAS LANAJA S.L.,Lanaja,Huesca,-0.378548,41.774381,Explotación de ganado porcino,
7797,2159,TORRECILLAS ,10.394,"CERIBEX, S.L",Zalamea de la serena,Badajoz,-5.74337,38.64751,Explotación de ganado porcino,
6105,2160,GANADOS SELECTOS MORELLA ,10.389,GANADOS SELECTOS MORELLA,Morella,Castellón,-0.069142,40.604981,Explotación de ganado porcino,
944,2161,ES220600000146-CERDOS-BINACED ,10.383,ANTONIO COSTA PUCHERCOS,Binaced,Huesca,0.201609,41.825742,Explotación de ganado porcino,
9823,2162,"ISIDRO CAMPO, S. L. ",10.381,"ISIDRO CAMPO, S. L.",Anguiano,Rioja (La),-2.763669,42.262823,Explotación de ganado porcino,
4517,2163,ES222540000142-CERDOS-ZAIDÍN ,10.375,ANTONIO VICENTE CARRASQUER,Zaidin,Huesca,0.264938,41.603996,Explotación de ganado porcino,
8442,2164,SAT Nº 7128 PENTA-NUCLEO 2 ,10.352,SOCIEDAD AGRICOLA DE TRANSFORMACIÓN SAT 7128 PENTA,Bétera,Valencia,-0.412707,40.212193,Explotación de ganado porcino,
980,2165,ES221240000020-CERDOS-HUERTO ,10.345,CESAR LA TORRE HOSPITAL,Huerto,Huesca,-0.122295,41.903039,Explotación de ganado porcino,
9628,2166,ES220630000022-BISCARRUÉS ,10.338,"TORRALBA URUEN, DAVID",Biscarrués,Huesca,-0.752687,42.228234,Explotación de ganado porcino,
